D,S,J,Q,ho_ratio,do_ratio,hc_ratio,hz_ratio,du_ratio,Hi,y
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,1,0
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,2,10971.79
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,3,17695.0996
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,4,16760.1309
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,5,16255.3604
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,6,15551.1201
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,7,18324.4297
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,8,19488.1992
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,9,17852.1094
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,10,21229.1602
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,11,26700
500,60000,4.7,15,0.67,0.47,2.5,2.5,0.58892,12,22400
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,1,0
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,2,9220
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,3,25800
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,4,21600
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,5,24300
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,6,24800
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,7,22200
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,8,22600
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,9,29100
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,10,28100
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,11,30400
500,60000,4.7,20,0.67,0.47,2.5,2.5,0.58892,12,34300
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,1,0
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,2,12714.0498
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,3,31879.6191
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,4,26990.3398
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,5,30575.2109
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,6,28552.9805
500,60000,4.7,25,0.67,0.47,2.5,2.5,0.58892,7,26860.8809
