z,v
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.29,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.3,0.00E+00
0.31,0.00E+00
0.31,0.00E+00
0.31,0.00E+00
0.31,0.00E+00
0.31,0.00E+00
0.31,0.00E+00
0.31,0.00E+00
0.32,0.00E+00
0.32,0.00E+00
0.32,0.00E+00
0.32,0.00E+00
0.32,0.00E+00
0.32,0.00E+00
0.33,0.00E+00
0.33,0.00E+00
0.33,0.00E+00
0.33,0.00E+00
0.33,0.00E+00
0.34,0.00E+00
0.34,0.00E+00
0.34,0.00E+00
0.34,0.00E+00
0.34,0.00E+00
0.35,0.00E+00
0.35,0.00E+00
0.35,0.00E+00
0.35,0.00E+00
0.36,0.00E+00
0.36,0.00E+00
0.36,0.00E+00
0.36,0.00E+00
0.36,0.00E+00
0.36,0.00E+00
0.37,0.00E+00
0.37,0.00E+00
0.37,0.00E+00
0.37,0.00E+00
0.37,0.00E+00
0.38,0.00E+00
0.38,0.00E+00
0.38,0.00E+00
0.38,0.00E+00
0.38,0.00E+00
0.38,0.00E+00
0.39,0.00E+00
0.39,0.00E+00
0.39,0.00E+00
0.39,0.00E+00
0.39,0.00E+00
0.4,0.00E+00
0.4,0.00E+00
0.4,0.00E+00
0.4,0.00E+00
0.4,0.00E+00
0.4,0.00E+00
0.4,0.00E+00
0.41,0.00E+00
0.41,0.00E+00
0.41,0.00E+00
0.41,0.00E+00
0.41,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.42,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.43,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.44,0.00E+00
0.45,0.00E+00
0.45,0.00E+00
0.45,0.00E+00
0.45,0.00E+00
0.45,0.00E+00
0.45,0.00E+00
0.45,0.00E+00
0.46,0.00E+00
0.46,0.00E+00
0.46,0.00E+00
0.46,0.00E+00
0.46,0.00E+00
0.46,0.00E+00
0.46,0.00E+00
0.47,0.00E+00
0.47,4.82E+03
0.47,4.82E+03
0.47,4.82E+03
0.47,4.82E+03
0.47,4.82E+03
0.47,4.82E+03
0.48,4.82E+03
0.48,4.82E+03
0.48,4.82E+03
0.48,4.82E+03
0.48,4.82E+03
0.48,4.82E+03
0.48,4.82E+03
0.49,4.82E+03
0.49,4.82E+03
0.49,4.82E+03
0.49,4.82E+03
0.49,4.82E+03
0.49,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.5,4.82E+03
0.51,4.82E+03
0.51,4.82E+03
0.51,4.82E+03
0.51,4.82E+03
0.51,4.82E+03
0.51,4.82E+03
0.51,4.82E+03
0.52,4.82E+03
0.52,4.82E+03
0.52,4.82E+03
0.52,4.82E+03
0.52,4.82E+03
0.52,4.82E+03
0.52,4.82E+03
0.53,4.82E+03
0.53,4.82E+03
0.53,4.82E+03
0.53,4.82E+03
0.53,4.82E+03
0.53,4.82E+03
0.54,4.82E+03
0.54,7.51E+03
0.54,7.51E+03
0.54,7.51E+03
0.54,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.55,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.56,7.51E+03
0.57,7.51E+03
0.57,7.51E+03
0.57,7.51E+03
0.57,7.51E+03
0.57,7.51E+03
0.57,7.51E+03
0.57,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.58,7.51E+03
0.59,7.51E+03
0.59,7.51E+03
0.59,7.51E+03
0.59,9.40E+03
0.59,9.40E+03
0.59,9.40E+03
0.59,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.6,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.61,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.40E+03
0.62,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.63,9.68E+03
0.64,9.68E+03
0.64,9.68E+03
0.64,9.68E+03
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.64,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.03E+04
0.65,1.09E+04
0.65,1.09E+04
0.65,1.09E+04
0.65,1.09E+04
0.65,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.66,1.09E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.67,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.13E+04
0.68,1.14E+04
0.68,1.14E+04
0.68,1.14E+04
0.68,1.14E+04
0.68,1.14E+04
0.68,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.14E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.69,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.13E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.11E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.10E+04
0.7,1.08E+04
0.7,1.08E+04
0.7,1.08E+04
0.7,1.08E+04
0.7,1.08E+04
0.7,1.08E+04
0.7,1.08E+04
0.7,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.71,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.72,1.08E+04
0.73,1.08E+04
0.73,1.08E+04
0.73,1.08E+04
0.73,1.08E+04
0.73,1.08E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.73,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.12E+04
0.74,1.15E+04
0.74,1.15E+04
0.74,1.15E+04
0.74,1.15E+04
0.74,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.75,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.15E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.76,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.12E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.03E+04
0.77,1.02E+04
0.78,1.02E+04
0.78,1.02E+04
0.78,1.02E+04
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.98E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.78E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.63E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,9.08E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,8.93E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.02E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.31E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.51E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,9.87E+03
0.78,1.02E+04
0.78,1.02E+04
0.77,1.02E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.04E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.08E+04
0.76,1.10E+04
0.76,1.10E+04
0.76,1.10E+04
0.76,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.10E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.09E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.07E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.05E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.03E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.02E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.06E+04
0.75,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.07E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.76,1.06E+04
0.77,1.06E+04
0.77,1.06E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.77,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.08E+04
0.78,1.10E+04
0.78,1.10E+04
0.78,1.10E+04
0.78,1.10E+04
0.78,1.10E+04
0.78,1.10E+04
0.78,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.79,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.10E+04
0.8,1.06E+04
0.8,1.06E+04
0.8,1.06E+04
0.8,1.06E+04
0.8,1.06E+04
0.8,1.06E+04
0.8,1.06E+04
0.8,1.05E+04
0.8,1.05E+04
0.8,1.05E+04
0.8,1.05E+04
0.8,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.02E+04
0.81,1.02E+04
0.81,1.02E+04
0.81,1.02E+04
0.81,1.02E+04
0.81,1.02E+04
0.81,1.02E+04
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.90E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,9.44E+03
0.81,8.91E+03
0.81,8.91E+03
0.81,8.91E+03
0.81,8.91E+03
0.81,8.91E+03
0.81,8.91E+03
0.81,8.79E+03
0.81,8.79E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.43E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.08E+03
0.81,8.05E+03
0.81,8.05E+03
0.81,8.04E+03
0.81,8.04E+03
0.81,8.04E+03
0.81,8.04E+03
0.81,8.04E+03
0.81,8.04E+03
0.81,8.04E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.35E+03
0.81,8.58E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,8.93E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,9.65E+03
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.03E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.05E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.09E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.81,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
0.8,1.15E+04
