D,S,J,Q,ho_ratio,do_ratio,hc_ratio,hz_ratio,du_ratio,Hi,y
25,150,3.43,5,0.6,0.24,1.68,5,0.4,1,3.32158709
25,150,3.43,5,0.6,0.24,1.68,5,0.4,2,3.37985396
25,150,3.43,5,0.6,0.24,1.68,5,0.4,3,1.98271894
25,150,3.43,5,0.6,0.24,1.68,5,0.4,4,1.01196396
25,150,3.43,5,0.6,0.24,1.68,5,0.4,5,1.62588
25,150,3.43,5,0.6,0.24,1.68,5,0.4,6,1.01982999
25,150,3.43,5,0.6,0.24,1.68,5,0.4,7,1.09438002
25,150,3.43,5,0.6,0.24,1.68,5,0.4,8,1.26196599
25,150,3.43,5,0.6,0.24,1.68,5,0.4,9,2.14773297
25,150,3.43,5,0.6,0.24,1.68,5,0.4,10,3.71675205
25,150,3.43,5,0.6,0.24,1.68,5,0.4,11,4.57701302
25,150,3.43,5,0.6,0.24,1.68,5,0.4,12,5.02172804
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,1,4.67816591
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,2,5.61966181
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,3,3.26444292
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,4,2.69092607
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,5,2.54235697
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,6,3.27489305
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,7,2.96931696
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,8,2.89949989
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,9,4.46348715
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,10,7.49986696
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,11,7.07941103
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,12,8.48150444
25,150,3.43,10,0.6,0.24,1.68,5,0.4,1,6.66767311
25,150,3.43,10,0.6,0.24,1.68,5,0.4,2,7.83671713
25,150,3.43,10,0.6,0.24,1.68,5,0.4,3,7.69562387
25,150,3.43,10,0.6,0.24,1.68,5,0.4,4,4.42081785
25,150,3.43,10,0.6,0.24,1.68,5,0.4,5,6.11474991
25,150,3.43,10,0.6,0.24,1.68,5,0.4,6,5.91617107
