D,S,J,Q,ho_ratio,do_ratio,hc_ratio,hz_ratio,du_ratio,Hi,y
25,150,3.43,5,0.6,0.24,1.68,5,0.4,1,1651.46899
25,150,3.43,5,0.6,0.24,1.68,5,0.4,2,3647.12402
25,150,3.43,5,0.6,0.24,1.68,5,0.4,3,2056.60107
25,150,3.43,5,0.6,0.24,1.68,5,0.4,4,1125.94299
25,150,3.43,5,0.6,0.24,1.68,5,0.4,5,1349.91504
25,150,3.43,5,0.6,0.24,1.68,5,0.4,6,1020.24103
25,150,3.43,5,0.6,0.24,1.68,5,0.4,7,1068.27197
25,150,3.43,5,0.6,0.24,1.68,5,0.4,8,975.038513
25,150,3.43,5,0.6,0.24,1.68,5,0.4,9,1140.08496
25,150,3.43,5,0.6,0.24,1.68,5,0.4,10,1275.22705
25,150,3.43,5,0.6,0.24,1.68,5,0.4,11,1405.95398
25,150,3.43,5,0.6,0.24,1.68,5,0.4,12,1675.07104
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,1,3882.41895
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,2,5829.24512
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,3,3256.87793
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,4,2725.25195
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,5,2292.69189
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,6,3342.96289
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,7,2709.98608
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,8,2700.927
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,9,4452.33594
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,10,5291.40576
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,11,6863.10889
25,150,3.43,7.5,0.6,0.24,1.68,5,0.4,12,6201.77979
25,150,3.43,10,0.6,0.24,1.68,5,0.4,1,5406.1748
25,150,3.43,10,0.6,0.24,1.68,5,0.4,2,8903.09375
25,150,3.43,10,0.6,0.24,1.68,5,0.4,3,7629.25879
25,150,3.43,10,0.6,0.24,1.68,5,0.4,4,4416.12988
25,150,3.43,10,0.6,0.24,1.68,5,0.4,5,6108.66113
