D,S,ho,do,hc,hz,du,J,Q,Hi,y
25,150,15,6,42,125,10,3.43,5,1,1651.47
25,150,15,6,42,125,10,3.43,5,2,3647.12
25,150,15,6,42,125,10,3.43,5,3,2056.6
25,150,15,6,42,125,10,3.43,5,4,1125.94
25,150,15,6,42,125,10,3.43,5,5,1349.92
25,150,15,6,42,125,10,3.43,5,6,1020.24
25,150,15,6,42,125,10,3.43,5,7,1068.27
25,150,15,6,42,125,10,3.43,5,8,975.04
25,150,15,6,42,125,10,3.43,5,9,1140.08
25,150,15,6,42,125,10,3.43,5,10,1275.23
25,150,15,6,42,125,10,3.43,5,11,1405.95
25,150,15,6,42,125,10,3.43,5,12,1675.07
25,150,15,6,42,125,10,3.43,7.5,1,3882.42
25,150,15,6,42,125,10,3.43,7.5,2,5829.25
25,150,15,6,42,125,10,3.43,7.5,3,3256.88
25,150,15,6,42,125,10,3.43,7.5,4,2725.25
25,150,15,6,42,125,10,3.43,7.5,5,2292.69
25,150,15,6,42,125,10,3.43,7.5,6,3342.96
25,150,15,6,42,125,10,3.43,7.5,7,2709.99
25,150,15,6,42,125,10,3.43,7.5,8,2700.93
25,150,15,6,42,125,10,3.43,7.5,9,4452.34
25,150,15,6,42,125,10,3.43,7.5,10,5291.41
25,150,15,6,42,125,10,3.43,7.5,11,6863.11
25,150,15,6,42,125,10,3.43,7.5,12,6201.78
25,150,15,6,42,125,10,3.43,10,1,5406.17
25,150,15,6,42,125,10,3.43,10,2,8903.09
25,150,15,6,42,125,10,3.43,10,3,7629.26
25,150,15,6,42,125,10,3.43,10,4,4416.13
25,150,15,6,42,125,10,3.43,10,5,6108.66
25,150,15,6,42,125,10,3.43,10,6,6379.16
25,150,15,6,42,125,10,3.43,10,7,5598.74
25,150,15,6,42,125,10,3.43,10,8,6647.69
25,150,15,6,42,125,10,3.43,10,9,8418.42
25,150,15,6,42,125,10,3.43,10,10,10861.85
25,150,15,6,42,125,10,3.43,10,11,11094.13
25,150,15,6,42,125,10,3.43,10,12,11026.57
25,150,15,8,42,125,10,3.43,5,1,3567.44
25,150,15,8,42,125,10,3.43,5,2,3971.86
25,150,15,8,42,125,10,3.43,5,3,1938.17
25,150,15,8,42,125,10,3.43,5,4,2056.49
25,150,15,8,42,125,10,3.43,5,5,952.67
25,150,15,8,42,125,10,3.43,5,6,1511.36
25,150,15,8,42,125,10,3.43,5,7,2162.36
25,150,15,8,42,125,10,3.43,5,8,1676.1
25,150,15,8,42,125,10,3.43,5,9,1968.02
25,150,15,8,42,125,10,3.43,5,10,2400.91
25,150,15,8,42,125,10,3.43,5,11,2438.3
25,150,15,8,42,125,10,3.43,5,12,2281.5
25,150,15,8,42,125,10,3.43,7.5,1,5413.34
25,150,15,8,42,125,10,3.43,7.5,2,6095.84
25,150,15,8,42,125,10,3.43,7.5,3,3779.94
25,150,15,8,42,125,10,3.43,7.5,4,3502.74
25,150,15,8,42,125,10,3.43,7.5,5,2643.4
25,150,15,8,42,125,10,3.43,7.5,6,3950.65
25,150,15,8,42,125,10,3.43,7.5,7,4661.51
25,150,15,8,42,125,10,3.43,7.5,8,3729.81
25,150,15,8,42,125,10,3.43,7.5,9,5201.92
25,150,15,8,42,125,10,3.43,7.5,10,6183.7
25,150,15,8,42,125,10,3.43,7.5,11,6086.85
25,150,15,8,42,125,10,3.43,7.5,12,6302.93
25,150,15,8,42,125,10,3.43,10,1,7469.59
25,150,15,8,42,125,10,3.43,10,2,9307.04
25,150,15,8,42,125,10,3.43,10,3,7268.1
25,150,15,8,42,125,10,3.43,10,4,6495.78
25,150,15,8,42,125,10,3.43,10,5,7107.04
25,150,15,8,42,125,10,3.43,10,6,6023.45
25,150,15,8,42,125,10,3.43,10,7,7954.83
25,150,15,8,42,125,10,3.43,10,8,8345.48
25,150,15,8,42,125,10,3.43,10,9,9353.36
25,150,15,8,42,125,10,3.43,10,10,10611.63
25,150,15,8,42,125,10,3.43,10,11,12538.18
25,150,15,8,42,125,10,3.43,10,12,11133.7
25,150,15,10,42,125,10,3.43,5,1,3851.03
25,150,15,10,42,125,10,3.43,5,2,4549.03
25,150,15,10,42,125,10,3.43,5,3,2752.48
25,150,15,10,42,125,10,3.43,5,4,2471.33
25,150,15,10,42,125,10,3.43,5,5,1497.24
25,150,15,10,42,125,10,3.43,5,6,1738.36
25,150,15,10,42,125,10,3.43,5,7,1677.98
25,150,15,10,42,125,10,3.43,5,8,1284.69
25,150,15,10,42,125,10,3.43,5,9,1297.84
25,150,15,10,42,125,10,3.43,5,10,1207.21
25,150,15,10,42,125,10,3.43,5,11,1346.59
25,150,15,10,42,125,10,3.43,5,12,1531.86
25,150,15,10,42,125,10,3.43,7.5,1,5773.03
25,150,15,10,42,125,10,3.43,7.5,2,7045.3
25,150,15,10,42,125,10,3.43,7.5,3,4403.85
25,150,15,10,42,125,10,3.43,7.5,4,4274.82
25,150,15,10,42,125,10,3.43,7.5,5,5212.23
25,150,15,10,42,125,10,3.43,7.5,6,3602.57
25,150,15,10,42,125,10,3.43,7.5,7,4192.36
25,150,15,10,42,125,10,3.43,7.5,8,5051.39
25,150,15,10,42,125,10,3.43,7.5,9,4706.65
25,150,15,10,42,125,10,3.43,7.5,10,6399.72
25,150,15,10,42,125,10,3.43,7.5,11,6103.72
25,150,15,10,42,125,10,3.43,7.5,12,6313.19
25,150,15,10,42,125,10,3.43,10,1,8098.66
25,150,15,10,42,125,10,3.43,10,2,9341.8
25,150,15,10,42,125,10,3.43,10,3,8322.11
25,150,15,10,42,125,10,3.43,10,4,6628.17
25,150,15,10,42,125,10,3.43,10,5,6355.85
25,150,15,10,42,125,10,3.43,10,6,7033.1
25,150,15,10,42,125,10,3.43,10,7,7022.25
25,150,15,10,42,125,10,3.43,10,8,8289.54
25,150,15,10,42,125,10,3.43,10,9,5987.42
25,150,15,10,42,125,10,3.43,10,10,9870.05
25,150,15,10,42,125,10,3.43,10,11,11117.09
25,150,15,10,42,125,10,3.43,10,12,10344.94
25,150,15,6,42,125,15,2.29,5,1,3603.46
25,150,15,6,42,125,15,2.29,5,2,3784.57
25,150,15,6,42,125,15,2.29,5,3,899.21
25,150,15,6,42,125,15,2.29,5,4,1356.98
25,150,15,6,42,125,15,2.29,5,5,1187.83
25,150,15,6,42,125,15,2.29,5,6,1328.85
25,150,15,6,42,125,15,2.29,5,7,1040.36
25,150,15,6,42,125,15,2.29,5,8,942.78
25,150,15,6,42,125,15,2.29,5,9,921.82
25,150,15,6,42,125,15,2.29,5,10,996.45
25,150,15,6,42,125,15,2.29,5,11,1183.2
25,150,15,6,42,125,15,2.29,5,12,1244.52
25,150,15,6,42,125,15,2.29,7.5,1,5605.75
25,150,15,6,42,125,15,2.29,7.5,2,6345.69
25,150,15,6,42,125,15,2.29,7.5,3,2941.94
25,150,15,6,42,125,15,2.29,7.5,4,2832.38
25,150,15,6,42,125,15,2.29,7.5,5,3278.11
25,150,15,6,42,125,15,2.29,7.5,6,3659.04
25,150,15,6,42,125,15,2.29,7.5,7,2855
25,150,15,6,42,125,15,2.29,7.5,8,2571.37
25,150,15,6,42,125,15,2.29,7.5,9,3230.04
